Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
0.0,1e-06,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1000000.0,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0,1000000.0,1000000.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1e-06,0,0,0
53.0,1e-06,1,87.0,87.0,87.0,87.0,0,53.0,53.0,53.0,0,87000000.0,1000000.0,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0,1000000.0,1000000.0,87.0,87.0,87.0,0,0,0,0,0,87.0,87.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1e-06,0,0,0
53.0,0.000853,1,87.0,87.0,87.0,87.0,0,53.0,53.0,53.0,0,101992.96600234466,1172.3329425556858,0.000853,0,0.000853,0.000853,0.000853,0.000853,0.000853,0.000853,0.000853,0.000853,0.000853,0.000853,0.000853,0.000853,0,0,1172.3329425556858,1172.3329425556858,87.0,87.0,87.0,0,0,0,0,0,87.0,87.0,0.0,0.0,0.0,0.0,0.000853,0.000853,0.000853,0,0,0
53.0,0.000329,1,87.0,87.0,87.0,87.0,0,53.0,53.0,53.0,0,264437.6899696049,3039.51367781155,0.000329,0,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0.000329,0,0,3039.51367781155,3039.51367781155,87.0,87.0,87.0,0,0,0,0,0,87.0,87.0,0.0,0.0,0.0,0.0,0.000329,0.000329,0.000329,0,0,0
52022.0,0.044415,1,148.0,148.0,148.0,148.0,0,114.0,114.0,114.0,0,3332.207587526736,22.514916131937408,0.044415,0,0.044415,0.044415,0.044415,0.044415,0.044415,0.044415,0.044415,0.044415,0.044415,0.044415,0.044415,0.044415,0,0,22.514916131937408,22.514916131937408,148.0,148.0,148.0,0,0,0,0,0,148.0,148.0,0.0,0.0,0.0,0.0,0.044415,0.044415,0.044415,0,0,0
64318.0,0.000536,1,185.0,185.0,185.0,185.0,0,151.0,151.0,151.0,0,345149.25373134325,1865.6716417910447,0.000536,0,0.000536,0.000536,0.000536,0.000536,0.000536,0.000536,0.000536,0.000536,0.000536,0.000536,0.000536,0.000536,0,0,1865.6716417910447,1865.6716417910447,185.0,185.0,185.0,0,0,0,0,0,185.0,185.0,0.0,0.0,0.0,0.0,0.000536,0.000536,0.000536,0,0,0
52578.0,0.011839,1,152.0,152.0,152.0,152.0,0,118.0,118.0,118.0,0,12838.92220626742,84.46659346228566,0.011839,0,0.011839,0.011839,0.011839,0.011839,0.011839,0.011839,0.011839,0.011839,0.011839,0.011839,0.011839,0.011839,0,0,84.46659346228566,84.46659346228566,152.0,152.0,152.0,0,0,0,0,0,152.0,152.0,0.0,0.0,0.0,0.0,0.011839,0.011839,0.011839,0,0,0
51664.0,0.190692,1,66.0,66.0,66.0,66.0,0,0.0,0.0,0.0,0,346.10785979485246,5.244058481740188,0.190692,0,0.190692,0.190692,0.190692,0.190692,0.190692,0.190692,0.190692,0.190692,0.190692,0.190692,0.190692,0.190692,20,20,5.244058481740188,5.244058481740188,66.0,66.0,66.0,0,0,0,0,1,66.0,66.0,65535.0,65535.0,0.0,0.0,0.190692,0.190692,0.190692,0,0,0
